formula,formula_with_coefficients,params_num,r2,adj_r2,std_err,max_err,f_stat,func_type,n_dims
z=A+Bx+Cy,z=-82.962+271.48x+50.634y,3,0.32614,0.30508,11.531,26.432,15.487,simple,3
z=A+Bx+Cy,z=-82.962+271.48x+50.634y,3,0.32614,0.30508,11.531,26.432,15.487,simple,3
z=A+Bx+Cy,z=-82.962+271.48x+50.634y,3,0.32614,0.30508,11.531,26.432,15.487,simple,3
z=A+Bx^2lnx+Cylny,z=-1.776-610.97x^2lnx+26.321ylny,3,0.32568,0.30461,11.535,26.444,15.455,simple,3
z=A+Blnx+Cy+Dy^2,z=-501.96+60.113lnx+504.66y-90.261y^2,4,0.31899,0.29032,11.653,27.19,11.125,simple,3
z=A+Blnx+Cy+Dy^2,z=-501.96+60.113lnx+504.66y-90.261y^2,4,0.31899,0.29032,11.653,27.19,11.125,simple,3
z=A+Blnx+C(lnx)^2+D(lnx)^3+Ey+Fy^2+Gy^3+Hy^4,z=237897-501.12lnx-752.64(lnx)^2-249.44(lnx)^3-368825y+213953y^2-54992y^3+5284y^4,8,0.31865,0.25875,11.909,28.68,5.3198,simple,3
z=A+Blnx+C(lnx)^2+D(lnx)^3+Ey+Fy^2+Gy^3+Hy^4,z=237897-501.12lnx-752.64(lnx)^2-249.44(lnx)^3-368825y+213953y^2-54992y^3+5284y^4,8,0.31865,0.25875,11.909,28.68,5.3198,simple,3
z=A+Blnx+Clny+D(lny)^2,z=-304.51+59.948lnx+959.57lny-452.01(lny)^2,4,0.31818,0.28947,11.66,27.188,11.083,simple,3
z=A+Blnx+Clny+D(lny)^2,z=-304.51+59.948lnx+959.57lny-452.01(lny)^2,4,0.31818,0.28947,11.66,27.188,11.083,simple,3
z=A+Blnx+Clny,z=71.367+57.979lnx+131.48lny,3,0.31491,0.2935,11.627,27.419,14.709,simple,3
z=A+Blnx+Clny,z=71.367+57.979lnx+131.48lny,3,0.31491,0.2935,11.627,27.419,14.709,simple,3
